table_name,column_name,data_type,is_nullable,column_default,character_maximum_length
accounts,id,uuid,NO,gen_random_uuid(),null
accounts,user_id,uuid,YES,null,null
accounts,name,text,NO,null,null
accounts,type,text,NO,null,null
accounts,currency,text,YES,'UAH'::text,null
accounts,balance,numeric,YES,0,null
accounts,is_active,boolean,YES,true,null
accounts,created_at,timestamp with time zone,YES,now(),null
accounts,bank,text,YES,null,null
accounts,icon,text,YES,'💳'::text,null
accounts,description,text,YES,null,null
accounts,interest_rate,numeric,YES,null,null
accounts,end_date,date,YES,null,null
accounts,payment_day,integer,YES,null,null
accounts,credit_limit,numeric,YES,null,null
accounts,is_archived,boolean,YES,false,null
accounts,updated_at,timestamp with time zone,YES,now(),null
activity_logs,id,uuid,NO,gen_random_uuid(),null
activity_logs,user_id,uuid,NO,null,null
activity_logs,action,text,NO,null,null
activity_logs,details,text,YES,null,null
activity_logs,created_at,timestamp with time zone,NO,now(),null
admin_logs,id,uuid,NO,gen_random_uuid(),null
admin_logs,admin_id,uuid,NO,null,null
admin_logs,action,text,NO,null,null
admin_logs,target,text,YES,null,null
admin_logs,details,text,YES,null,null
admin_logs,created_at,timestamp with time zone,YES,now(),null
admin_logs,level,text,YES,'info'::text,null
bonds,id,uuid,NO,gen_random_uuid(),null
bonds,user_id,uuid,NO,null,null
bonds,name,text,NO,null,null
bonds,type,text,YES,'ovdp'::text,null
bonds,issuer,text,YES,null,null
bonds,isin,text,YES,null,null
bonds,amount,numeric,NO,null,null
bonds,interest_rate,numeric,NO,null,null
bonds,currency,text,YES,'UAH'::text,null
bonds,buy_date,date,YES,null,null
bonds,maturity_date,date,YES,null,null
bonds,coupon_period,text,YES,null,null
bonds,is_free_to_sell,boolean,YES,false,null
bonds,created_at,timestamp with time zone,YES,now(),null
bonds,updated_at,timestamp with time zone,YES,now(),null
budgets,id,uuid,NO,gen_random_uuid(),null
budgets,user_id,uuid,NO,null,null
budgets,category_id,uuid,YES,null,null
budgets,month,integer,NO,null,null
budgets,year,integer,NO,null,null
budgets,plan_amount,numeric,YES,0,null
budgets,created_at,timestamp with time zone,YES,now(),null
budgets,updated_at,timestamp with time zone,YES,now(),null
budgets,category_key,text,YES,null,null
business_employees,id,uuid,NO,gen_random_uuid(),null
business_employees,business_id,uuid,NO,null,null
business_employees,user_id,uuid,NO,null,null
business_employees,name,text,NO,null,null
business_employees,type,text,YES,'hired'::text,null
business_employees,salary,numeric,NO,null,null
business_employees,created_at,timestamp with time zone,YES,now(),null
business_employees,role,text,YES,null,null
business_items,id,uuid,NO,gen_random_uuid(),null
business_items,business_id,uuid,NO,null,null
business_items,user_id,uuid,NO,null,null
business_items,section,text,NO,null,null
business_items,label,text,NO,null,null
business_items,amount,numeric,NO,null,null
business_items,created_at,timestamp with time zone,YES,now(),null
businesses,id,uuid,NO,gen_random_uuid(),null
businesses,user_id,uuid,NO,null,null
businesses,name,text,NO,null,null
businesses,type,text,YES,null,null
businesses,share,numeric,YES,100,null
businesses,start_date,date,YES,null,null
